227 shards
{"scanned": 119000, "stage1_pass": 5407, "detected": 1538, "shard": "1/227", "elapsed_s": 25}
{"scanned": 1002000, "stage1_pass": 43913, "detected": 12714, "shard": "11/227", "elapsed_s": 263}
{"scanned": 1081000, "stage1_pass": 44370, "detected": 12727, "shard": "21/227", "elapsed_s": 487}
{"scanned": 1152000, "stage1_pass": 44913, "detected": 12738, "shard": "31/227", "elapsed_s": 712}
{"scanned": 1222000, "stage1_pass": 45445, "detected": 12759, "shard": "41/227", "elapsed_s": 937}
{"scanned": 1293000, "stage1_pass": 45902, "detected": 12777, "shard": "51/227", "elapsed_s": 1166}
{"scanned": 1361000, "stage1_pass": 46758, "detected": 12779, "shard": "61/227", "elapsed_s": 1399}
{"scanned": 1474000, "stage1_pass": 60802, "detected": 12789, "shard": "71/227", "elapsed_s": 1646}
{"scanned": 1528000, "stage1_pass": 61549, "detected": 12794, "shard": "81/227", "elapsed_s": 1890}
{"scanned": 1581000, "stage1_pass": 62116, "detected": 12794, "shard": "91/227", "elapsed_s": 2129}
{"scanned": 1641000, "stage1_pass": 62991, "detected": 12805, "shard": "101/227", "elapsed_s": 2368}
{"scanned": 1702000, "stage1_pass": 63794, "detected": 12811, "shard": "111/227", "elapsed_s": 2605}
{"scanned": 1749000, "stage1_pass": 64386, "detected": 12825, "shard": "121/227", "elapsed_s": 2848}
{"scanned": 1799000, "stage1_pass": 65198, "detected": 12829, "shard": "131/227", "elapsed_s": 3098}
{"scanned": 1849000, "stage1_pass": 65791, "detected": 12832, "shard": "141/227", "elapsed_s": 3333}
{"scanned": 1899000, "stage1_pass": 66649, "detected": 12837, "shard": "151/227", "elapsed_s": 3584}
{"scanned": 1947000, "stage1_pass": 67273, "detected": 12847, "shard": "161/227", "elapsed_s": 3833}
{"scanned": 1995000, "stage1_pass": 68097, "detected": 12857, "shard": "171/227", "elapsed_s": 4084}
{"scanned": 2044000, "stage1_pass": 68778, "detected": 12857, "shard": "181/227", "elapsed_s": 4324}
{"scanned": 2973000, "stage1_pass": 71961, "detected": 13378, "shard": "191/227", "elapsed_s": 4535}
{"scanned": 4213000, "stage1_pass": 72849, "detected": 13378, "shard": "201/227", "elapsed_s": 4744}
{"scanned": 5453000, "stage1_pass": 73744, "detected": 13378, "shard": "211/227", "elapsed_s": 4951}
{"scanned": 6692000, "stage1_pass": 74657, "detected": 13380, "shard": "221/227", "elapsed_s": 5160}
{"scanned": 7357204, "stage1_pass": 75121, "detected": 13380, "shard": "227/227", "elapsed_s": 5270}
DONE
